ref,title,year,source,selection_criteria,status,display,input,interaction,collaboration,model,size,doi
,Effects of a Tabletop Interface on the Co-construction of Concept Maps,2011,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,50”,10.1007/978-3-642-23765-2_31
,Tangible bots: interaction with active tangibles in tabletop interfaces,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility",Colaboração presencial,,,10.1145/1978942.1979384
,"uTable: a seamlessly tiled, very large interactive tabletop system",2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,uTable,169”,10.1145/2076354.2076397
,Arrange-A-Space: tabletop interfaces and gender collaboration,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1979742.1979797
,Beyond one-size-fits-all: how interactive tabletops support collaborative learning,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1999030.1999043
,Effects of Viewing Conditions and Rotation Methods in a Collaborative Tabletop AR Environment,2011,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Headset,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1109/TVCG.2011.49
,Enhancing genomic learning through tabletop interaction,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1978942.1979361
,PuzzleTale: A tangible puzzle game for interactive storytelling,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,,10.1145/1899687.1899693
,Exploring How Tangible Tools Enable Collaboration in a Multi-touch Tabletop Game,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,EventTable + Multi-touch,,10.1007/978-3-642-23771-3_45
,A Tabletop-Based Real-World-Oriented Interface,2011,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Usuário único,,,10.1007/978-3-642-21605-3_15
,Usability of technology supported social competence training for children on the Autism Spectrum,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/ICVR.2011.5971867
,Hyakunin-Eyesshu: a tabletop Hyakunin-Isshu game with computer opponent by the action prediction based on gaze detection,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Eye-Tracking, Sensor-Assisted-Vision-Based, Vision-Based","Gaze, Multi-touch, Touch",Usuário único,,,10.1145/1983302.1983307
,onNote: playing printed music scores as a musical instrument,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Vision-Based,Tangibility,Usuário único,,,10.1145/2047196.2047249
,Three around a Table: The Facilitator Role in a Co-located Interface for Social Competence Training of Children with Autism Spectrum Disorder,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-642-23771-3_11
,A slim hybrid multi-touch tabletop interface with a high definition LED display and multiple cameras,2012,Scopus,Study describing digital tabletop techniques,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,"47""",10.1109/ICCE.2012.6161836
,A Tabletop Board Game Interface for Multi-user Interaction with a Storytelling System,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1007/978-3-642-30214-5_14
,Tangible interactions on a flat panel display using actuated paper sheets,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,"Tangible-Tokens, Vision-Based",Tangibility,Usuário único,,,10.1145/2396636.2396698
,Tabletop games for photo consumption at theme parks,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Touch,Colaboração presencial,,"50""",10.1145/2396636.2396646
,Semiautomatic and User-Centered Orientation of Digital Artifacts on Multi-touch Tabletops,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,83”,10.1007/978-3-642-33542-6_34
,StoryCrate: Tabletop storyboarding for live film production,2012,Scopus,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Usuário único,StoryCrate,65”,10.1145/2207676.2207700
,Understanding designer brainstorms: the effect of analog and digital interfaces on dominance,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/2212776.2223659
,"Touch, click, navigate: comparing tabletop and desktop interaction for map navigation tasks",2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2396636.2396669
,Exploring tabletops as an effective tool to foster creativity traits,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Microsoft Surface + Tangibles,30”,10.1145/2148131.2148163
,Tangible and Wearable User Interfaces for Supporting Collaboration among Emergency Workers,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based, Wearables","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550 + Wearable,"55""",10.1007/978-3-642-33284-5_18
,Tangible 3D tabletops: Combining tangible tabletop interaction and 3D projection,2012,Scopus,Study describing digital tabletop techniques,Accepted,"Rear-Projected, Front-Projected","Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,53”,10.1145/2399016.2399033
,TinkerLamp 2.0: Designing and Evaluating Orchestration Technologies for the Classroom,2012,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,TinkerLamp 2.0,,10.1007/978-3-642-33263-0_6
,ARmy: A study of multi-user interaction in spatially augmented games,2012,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Vision-Based,Tangibility,Colaboração presencial,,,10.1109/CVPRW.2012.6239198
,Jamming user interfaces: programmable particle stiffness and sensing for malleable and shape-changing devices,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Usuário único,,,10.1145/2380116.2380181
,Harnessing the benefits of bimanual and multi-finger input for supporting grouping tasks on interactive tabletops,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2399016.2399091
,Tisch digital tools supporting board games,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2282338.2282376
,Co-Located Collaborative Visual Analytics around a Tabletop Display,2012,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1109/TVCG.2011.287
,Group interaction on interactive multi-touch tables by children in India,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,50”,10.1145/2307096.2307131
,Personal assistant agents and multi-agent middleware for CSCW,2012,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1109/CSCWD.2012.6221800
,Occlusion-aware interaction techniques for tabletop systems,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,46”,10.1145/2212776.2223831
,At home with surface computing?,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/2207676.2207699
,PapARt: Interactive 3D graphics and multi-touch augmented paper for artistic creation,2012,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Pen, Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Tangibility, Touch",Usuário único,,,10.1109/3DUI.2012.6184167
,Supporting opportunistic search in meetings with tangible tabletop,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Sensor-Assisted-Vision-Based","Speech, Tangibility",Colaboração presencial,TinkerLamp,,10.1145/2212776.2223837
,Interacting with mouse and touch devices on horizontal interactive displays,2012,Scopus,Study evaluating digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1007/s10209-011-0238-8
,Trackable Interactive Multimodal Manipulatives: Towards a Tangible User Environment for the Blind,2012,Springer Link,Study describing digital tabletop techniques,Accepted,,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Usuário único,,,10.1007/978-3-642-31534-3_97
,Collaborative Problem Solving with Objects: Physical Aspects of a Tangible Tabletop in Technology-based Assessment,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,50”,10.1007/978-1-4471-4093-1_11
,Supporting active reading on pen and touch-operated tabletops,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Electrical-Based","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”,10.1145/2254556.2254669
,Branch-explore-merge: facilitating real-time revision control in collaborative visual exploration,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,"Multi-Device, Rear-Projected",Sensor-Assisted-Vision-Based,"Multi-touch, Touch","Colaboração presencial, Colaboração remota",,"40""",10.1145/2396636.2396673
,Augmented reality and tangible user interfaces integration for enhancing the user experience,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,,10.1145/2407516.2407536
,Novel interaction techniques based on a combination of hand and foot gestures in tabletop environments,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Gesture, Multi-touch, Touch",Usuário único,,45”,10.1145/2350046.2350053
,Phylo-Genie: engaging students in collaborative 'tree-thinking' through tabletop techniques,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2207676.2208720
,Combinatorix: A tangible user interface that supports collaborative learning of probabilities,2012,Scopus,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/2396636.2396656
,BrainExplorer: an innovative tool for teaching neuroscience,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Pen, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/2396636.2396712
,Investigating menu discoverability on a digital tabletop in a public setting,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,28”,10.1145/2396636.2396647
,Spatially aware tangible display interaction in a tabletop environment,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,"Rear-Projected, Front-Projected",Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/2396636.2396679
,The eLabBench in the wild: supporting exploration in a molecular biology lab,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,"Pen, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/2207676.2208718
,Re-collision: a collision reconstruction forensics tabletop interface,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2396636.2396648
,A collaborative environment for engaging novices in scientific inquiry,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2396636.2396654
,Understanding flicking on curved surfaces,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Usuário único,BendDesk,42”,10.1145/2207676.2207703
,Stakeholder-Driven Collaborative Modeling of Subject-Oriented Business Processes,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1007/978-3-642-29133-3_10
,Development of a gaze-and-touch algorithm for a tabletop Hyakunin-Isshu game with a computer opponent,2012,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Eye-Tracking, Sensor-Assisted-Vision-Based, Vision-Based, Wearables","Gaze, Touch",Usuário único,,,10.1109/ROMAN.2012.6343754
,Designing a user interface for a painting application supporting real watercolor painting processes,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Tangibility,Usuário único,,,10.1145/2350046.2350091
,RoboJockey: robotic dance entertainment for all,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Pen, Sensor-Assisted-Vision-Based","Multi-touch, Touch",Colaboração presencial,,23”,10.1145/2407707.2407726
,Co-narrating a conflict: An interactive tabletop to facilitate attitudinal shifts,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/2362364.2362372
,How do interactive tabletop systems influence collaboration?,2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1016/j.chb.2011.08.010
,Dynamic tabletop interfaces for increasing creativity,2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1016/j.chb.2012.05.007
,"The design, development, and deployment of a tabletop interface for collaborative exploration of genomic data",2012,Science@Direct,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1016/j.ijhcs.2012.05.003
,"The conceptual framing, design and evaluation of device ecologies for collaborative activities",2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1016/j.ijhcs.2012.05.008
,Browsing museum image collections on a multi-touch table,2012,Science@Direct,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,34”,10.1016/j.is.2011.09.009
,Motivating arm-hand use for stroke patients by serious games.,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based, Wearables","Tangibility, Touch",Usuário único,,,
,Towards fast multi-point force and hit detection in tabletops using mechanically intercoupled force sensing resistors,2012,Scopus,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,
,Trains of thought on the tabletop: visualizing association of ideas improves creativity,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s00779-013-0726-3
,ChemicAble: Tangible Interaction Approach for learning Chemical Bonding,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/2525194.2525211
,"Youtopia: a collaborative, tangible, multi-touch, sustainability learning activity",2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2485760.2485866
,The fun.tast.tisch. project: a novel approach to neuro-rehabilitation using an interactive multiuser multitouch tabletop,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2512349.2512808
,Circuit in pieces: understanding electricity from electrons to light bulbs,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2468356.2468478
,Hand gesture recognition using contour based method for tabletop surfaces,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Vision-Based,Gesture,Usuário único,,,10.1109/ICNSC.2013.6548846
,Touching dante: a proximity-based paradigm for tabletop browsing,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2499149.2499172
,OrMiS: a tabletop interface for simulation-based training,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,PQ Labs G4S 55”,,10.1145/2512349.2512792
,TabletopCars: interaction with active tangible remote controlled cars,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Microsoft Surface + Tangibles,30”,10.1145/2460625.2460630
,Eye-tracking volume simulation method to configure hardware settings for tangible and multi-user tabletop interaction,2013,Scopus,Study describing digital tabletop techniques,Accepted,Front-Projected,"Eye-Tracking, Vision-Based",Gaze,Colaboração presencial,,,10.1145/2512349.2512401
,Subject-Oriented BPM = Socially Executable BPM,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1109/CBI.2013.64
,SLFiducials: 6DoF markers for tabletop interaction,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1145/2512349.2514914
,"Villains, architects and micro-managers: what tabula rasa teaches us about game orchestration",2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,46”,10.1145/2470654.2470754
,Detecting interaction above digital tabletops using a single depth camera,2013,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Touch",Colaboração presencial,,,10.1007/s00138-013-0538-5
,Investigating Pointing Tasks across Angularly Coupled Display Areas,2013,Springer Link,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Usuário único,,,10.1007/978-3-642-40483-2_50
,Learning extended writing: designing for children's collaboration,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean ActivBoard,,10.1145/2485760.2485765
,Development of Communication Support System at Mealtimes Using Tabletop Interface,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-642-39265-8_19
,Dynamic Spatial Positioning: Physical Collaboration around Interactive Table by Children in India,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-642-40498-6_11
,GestureAgents: an agent-based framework for concurrent multi-task multi-user interaction,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,ReacTable + Gesture,,10.1145/2460625.2460658
,ObjecTop: Occlusion awareness of physical objects on interactive tabletops,2013,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2512349.2512806
,Tables in the wild: Lessons learned from a large-scale multi-tabletop deployment,2013,Scopus,Study evaluating digital tabletop techniques,Accepted,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,,10.1145/2470654.2466130
,MARIO: Mid-Air Augmented RealityInteraction with Objects,2013,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Tangibility",Usuário único,,,10.1007/978-3-319-03161-3_53
,Towards Multimodal 3D Tabletop Interaction Using Sensor Equipped Mobile Devices,2013,Springer Link,Study describing digital tabletop techniques,Accepted,"Multi-Device, Rear-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1007/978-3-642-36632-1_6
,Tangible tabletops for emergency response: an exploratory study,2013,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,"Pen, Tangible-Tokens",Tangibility,Colaboração presencial,,,10.1145/2500342.2500352
,Prototype of operator interface for monitoring and controlling in the mobile control room,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2512349.2514589
,Permulin: collaboration on interactive surfaces with personal in- and output,2013,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/2468356.2468630
,Pen and touch gestural environment for document editing on interactive tabletops,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Electrical-Based","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”,10.1145/2512349.2512802
,Evaluation of a Soft-Surfaced Multi-touch Interface,2013,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-642-39330-3_50
,Research on a Large Digital Desktop Integrated in a Traditional Environment for Informal Collaboration,2013,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Tangibility, Touch",Colaboração presencial,,,10.1007/978-3-642-39330-3_37
,A multimodal approach to examining 'embodiment' in tangible learning environments,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,,10.1145/2460625.2460632
,Interview approaches to researching embodiment,2013,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,LightTable,,10.1145/2470654.2481402
,Hands-on Maps � a Multi-touch Map Application in a Public Space,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Advanced (MT467),46”,10.1007/bf03546136
,PeriTop: Extending back-projected tabletops with top-projected peripheral displays,2013,Scopus,Study describing digital tabletop techniques,Accepted,"Embedded, Front-Projected","Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Top Projector + Kinect,40”,10.1145/2512349.2512397
,Communication Analysis of Remote Collaboration System with Arm Scaling Function,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Colaboração remota,,,10.1007/978-3-642-39330-3_40
,Management of distributed collaborative learning environments based on a concept map paradigm and natural interfaces,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/FIE.2013.6685084
,Preparing for Future Learning with a Tangible User Interface: The Case of Neuroscience,2013,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1109/TLT.2013.15
,SkyHunter: a multi-surface environment for supporting oil and gas exploration,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Multi-Device,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Multi-Device + Kinect,40”,10.1145/2512349.2512798
,Designing reality-based interfaces for experiential bio-design,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Sifteo Cubes,40”,10.1007/s00779-013-0752-1
,MoClo planner: Interactive visualization for Modular Cloning bio-design,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1109/BioVis.2013.6664347
